STUDENT NUMBER,FIRST NAME,LAST NAME,YEAR,SEMESTER,STATUS
202310017,Jerry,Corazon,1,1st,Enrolled
202310018,Jerry,Corazon,1,1st,Enrolled
202310019,Jerry,Corazon,1,1st,Enrolled
202310020,Jerry,Corazon,1,1st,Enrolled
202310021,Jerry,Corazon,1,1st,Enrolled
202310022,Jerry,Corazon,1,1st,Enrolled
202310023,Jerry,Corazon,1,1st,Enrolled
202310024,Jerry,Corazon,1,1st,Enrolled
202310025,Jerry,Corazon,1,1st,Enrolled
202310026,Jerry,Corazon,1,1st,Enrolled
202310027,Jerry,Corazon,1,1st,Enrolled
202310028,Jerry,Corazon,1,1st,Enrolled
202310029,Jerry,Corazon,1,1st,Enrolled
202310030,Jerry,Corazon,1,1st,Enrolled
202310031,Jerry,Corazon,1,1st,Enrolled
202310032,Jerry,Corazon,1,1st,Enrolled
202310033,Jerry,Corazon,1,1st,Enrolled
202310034,Jerry,Corazon,1,1st,Enrolled
202310035,Jerry,Corazon,1,1st,Enrolled
202310036,Jerry,Corazon,1,1st,Enrolled
202310037,Jerry,Corazon,1,1st,Enrolled
202310038,Jerry,Corazon,1,1st,Enrolled
202310039,Jerry,Corazon,1,1st,Enrolled
202310040,Jerry,Corazon,1,1st,Enrolled
202310041,Jerry,Corazon,1,1st,Enrolled
202310042,Jerry,Corazon,1,1st,Enrolled
202310043,Jerry,Corazon,1,1st,Enrolled
202310044,Jerry,Corazon,1,1st,Enrolled
202310045,Jerry,Corazon,1,1st,Enrolled
202310046,Jerry,Corazon,1,1st,Enrolled
